CONSTANT_MODIFICATIONS
15N-oxobutanoic (N-term C)
15N-oxobutanoic (Protein N-term S)
15N-oxobutanoic (Protein N-term T)
2-dimethylsuccinyl (C)
2-methylbutyryl (K)
2-monomethylsuccinyl (C)
2-nitrobenzyl (Y)
2-succinyl (C)
2HPG (R)
2PCA-triazole-ethanethiol (N-term)
3-deoxyglucosone (R)
3-hydroxy-3-methylglutaryl (K)
3-hydroxybenzyl-phosphate (K)
3-hydroxybenzyl-phosphate (S)
3-hydroxybenzyl-phosphate (T)
3-hydroxybenzyl-phosphate (Y)
3-methylglutaconyl (K)
3-methylglutaryl (K)
3-phosphoglyceryl (K)
3sulfo (N-term)
4-ONE (C)
4-ONE (H)
4-ONE (K)
4-ONE+Delta:H(-2)O(-1) (C)
4-ONE+Delta:H(-2)O(-1) (H)
4-ONE+Delta:H(-2)O(-1) (K)
4AcAllylGal (C)
6C-CysPAT (C)
6C-CysPAT (D)
6C-CysPAT (E)
6C-CysPAT (H)
6C-CysPAT (K)
6C-CysPAT (N-term)
6C-CysPAT (S)
6C-CysPAT (T)
6C-CysPAT (Y)
a-type-ion (C-term)
AccQTag (K)
AccQTag (N-term)
Acetoacetyl (K)
Acetyl (C)
Acetyl (H)
Acetyl (K)
Acetyl (N-term)
Acetyl (Protein N-term)
Acetyl (R)
Acetyl (S)
Acetyl (T)
Acetyl (Y)
Acetyl:13C(2) (K)
Acetyl:13C(2) (Protein N-term)
Acetyl:2H(3) (H)
Acetyl:2H(3) (K)
Acetyl:2H(3) (N-term)
Acetyl:2H(3) (Protein N-term)
Acetyl:2H(3) (S)
Acetyl:2H(3) (T)
Acetyl:2H(3) (Y)
Acetyldeoxyhypusine (K)
Acetylhypusine (K)
ADP-Ribosyl (C)
ADP-Ribosyl (D)
ADP-Ribosyl (E)
ADP-Ribosyl (K)
ADP-Ribosyl (N)
ADP-Ribosyl (R)
ADP-Ribosyl (ST)
AEBS (H)
AEBS (K)
AEBS (Protein N-term)
AEBS (S)
AEBS (Y)
AEC-MAEC (S)
AEC-MAEC (T)
AEC-MAEC:2H(4) (S)
AEC-MAEC:2H(4) (T)
AFB1_Dialdehyde (K)
AHA-Alkyne (M)
AHA-Alkyne-KDDDD (M)
AHA-SS (M)
AHA-SS_CAM (M)
Ahx2+Hsl (C-term)
Amidated (C-term)
Amidated (Protein C-term)
Amidine (K)
Amidine (N-term)
Amidino (C)
Amino (Y)
Ammonia-loss (N)
Ammonia-loss (N-term C)
Ammonia-loss (Protein N-term S)
Ammonia-loss (Protein N-term T)
Ammonium (C-term)
Ammonium (DE)
AMTzHexNAc2 (N)
AMTzHexNAc2 (S)
AMTzHexNAc2 (T)
Andro-H2O (C)
Archaeol (C)
Arg (N-term)
Arg->GluSA (R)
Arg->Npo (R)
Arg->Orn (R)
Arg-loss (C-term R)
Arg2PG (R)
Argbiotinhydrazide (R)
AROD (C)
Aspartylurea (H)
Atto495Maleimide (C)
AzidoF (F)
azole (C)
azole (S)
b-type-ion (C-term)
Bacillosamine (N)
BADGE (C)
BDMAPP (H)
BDMAPP (K)
BDMAPP (Protein N-term)
BDMAPP (W)
BDMAPP (Y)
BEMAD_C (C)
BEMAD_C:2H(6) (C)
BEMAD_ST (S)
BEMAD_ST (T)
BEMAD_ST:2H(6) (S)
BEMAD_ST:2H(6) (T)
Benzoyl (K)
Benzoyl (N-term)
benzylguanidine (K)
betaFNA (C)
betaFNA (K)
BHT (C)
BHT (H)
BHT (K)
BHTOH (C)
BHTOH (H)
BHTOH (K)
Biotin (K)
Biotin (N-term)
Biotin-HPDP (C)
Biotin-PEG-PRA (M)
Biotin-PEO-Amine (D)
Biotin-PEO-Amine (E)
Biotin-PEO-Amine (Protein C-term)
Biotin-phenacyl (C)
Biotin-phenacyl (H)
Biotin-phenacyl (S)
Biotin-tyramide (C)
Biotin-tyramide (W)
Biotin-tyramide (Y)
Biotin:Aha-DADPS (M)
Biotin:Aha-PC (M)
Biotin:Cayman-10013 (C)
Biotin:Cayman-10141 (C)
Biotin:Invitrogen-M1602 (C)
Biotin:Sigma-B1267 (C)
Biotin:Thermo-21325 (K)
Biotin:Thermo-21328 (K)
Biotin:Thermo-21328 (N-term)
Biotin:Thermo-21330 (K)
Biotin:Thermo-21330 (N-term)
Biotin:Thermo-21345 (Q)
Biotin:Thermo-21360 (C-term)
Biotin:Thermo-21901+2H2O (C)
Biotin:Thermo-21901+H2O (C)
Biotin:Thermo-21911 (C)
Biotin:Thermo-33033 (N-term)
Biotin:Thermo-33033-H (N-term)
Biotin:Thermo-88310 (K)
Biotin:Thermo-88317 (S)
Biotin:Thermo-88317 (Y)
biotinAcrolein298 (C)
biotinAcrolein298 (H)
biotinAcrolein298 (K)
biotinAcrolein298 (Protein N-term)
BisANS (K)
bisANS-sulfonates (K)
bisANS-sulfonates (S)
bisANS-sulfonates (T)
BITC (C)
BITC (K)
BITC (N-term)
BMP-piperidinol (C)
BMP-piperidinol (M)
Brij35 (N-term)
Brij58 (N-term)
Bromo (F)
Bromo (H)
Bromo (W)
Bromo (Y)
Bromobimane (C)
Butyryl (K)
c-type-ion (C-term)
C8-QAT (K)
C8-QAT (N-term)
CAF (N-term)
CAMthiopropanoyl (K)
CAMthiopropanoyl (Protein N-term)
Can-FP-biotin (S)
Can-FP-biotin (T)
Can-FP-biotin (Y)
Carbamidomethyl (C)
Carbamidomethyl (D)
Carbamidomethyl (E)
Carbamidomethyl (H)
Carbamidomethyl (K)
Carbamidomethyl (M)
Carbamidomethyl (N-term)
Carbamidomethyl (S)
Carbamidomethyl (T)
Carbamidomethyl (U)
Carbamidomethyl (Y)
CarbamidomethylDTT (C)
Carbamyl (C)
Carbamyl (K)
Carbamyl (M)
Carbamyl (N-term)
Carbamyl (Protein N-term)
Carbamyl (R)
Carbamyl (S)
Carbamyl (T)
Carbamyl (Y)
Carbofuran (S)
Carbonyl (A)
Carbonyl (E)
Carbonyl (I)
Carbonyl (L)
Carbonyl (Q)
Carbonyl (R)
Carbonyl (S)
Carbonyl (V)
Carboxy (D)
Carboxy (E)
Carboxy (K)
Carboxy (Protein N-term M)
Carboxy (W)
Carboxy->Thiocarboxy (Protein C-term G)
Carboxyethyl (H)
Carboxyethyl (K)
Carboxyethylpyrrole (K)
Carboxymethyl (C)
Carboxymethyl (K)
Carboxymethyl (N-term)
Carboxymethyl (U)
Carboxymethyl (W)
Carboxymethyl:13C(2) (C)
CarboxymethylDMAP (N-term)
CarboxymethylDTT (C)
Cation:Ag (C-term)
Cation:Ag (DE)
Cation:Al[III] (C-term)
Cation:Al[III] (DE)
Cation:Ca[II] (C-term)
Cation:Ca[II] (DE)
Cation:Cu[I] (C-term)
Cation:Cu[I] (DE)
Cation:Cu[I] (H)
Cation:Fe[II] (C-term)
Cation:Fe[II] (DE)
Cation:Fe[III] (C-term)
