mod
6C-CysPAT (C)
6C-CysPAT (N-term)
Acetyl (K)
Acetyl (N-term)
Acetyl (Protein N-term)
Amidated (C-term)
Amidated (Protein C-term)
Ammonia-loss (N-term C)
Carbamidomethyl (C)
Carbamidomethyl (N-term)
Carbamyl (K)
Carbamyl (N-term)
Carboxymethyl (C)
Cation:Na (C-term)
Cation:Na (DE)
Deamidated (NQ)
Dehydrated (N-term C)
Dehydro (C)
Dioxidation (M)
Formyl (N-term)
Formyl (Protein N-term)
Gln->pyro-Glu (N-term Q)
Glu->pyro-Glu (N-term E)
Guanidinyl (K)
ICAT-C (C)
ICAT-C:13C(9) (C)
ICPL (K)
ICPL (Protein N-term)
ICPL:13C(6) (K)
ICPL:13C(6) (Protein N-term)
ICPL:13C(6)2H(4) (K)
ICPL:13C(6)2H(4) (N-term)
ICPL:13C(6)2H(4) (Protein N-term)
ICPL:2H(4) (K)
ICPL:2H(4) (Protein N-term)
iTRAQ4plex (K)
iTRAQ4plex (N-term)
iTRAQ4plex (Y)
iTRAQ8plex (K)
iTRAQ8plex (N-term)
iTRAQ8plex (Y)
Label:18O(1) (C-term)
Label:18O(2) (C-term)
Met->Hse (C-term M)
Met->Hsl (C-term M)
Methyl (C-term)
Methyl (DE)
Methylthio (C)
mTRAQ (K)
mTRAQ (N-term)
mTRAQ (Y)
mTRAQ:13C(3)15N(1) (K)
mTRAQ:13C(3)15N(1) (N-term)
mTRAQ:13C(3)15N(1) (Y)
mTRAQ:13C(6)15N(2) (K)
mTRAQ:13C(6)15N(2) (N-term)
mTRAQ:13C(6)15N(2) (Y)
NIPCAM (C)
Oxidation (HW)
Oxidation (M)
Phospho (ST)
Phospho (Y)
Propionamide (C)
Pyridylethyl (C)
Pyro-carbamidomethyl (N-term C)
Sulfo (STY)
TMT2plex (K)
TMT2plex (N-term)
TMT6plex (K)
TMT6plex (N-term)
TMTpro (K)
TMTpro (N-term)
