CONSTANT_MODS
Abu (N-term)
Acetohydrazide (C-term)
Acetohydrazide (DE)
Acetyl (K)
Acetyl (N-term)
Acetyl (R)
Acetyl (S)
Acetyl (T)
Acetyl:2H(3) (K)
Acetyl:2H(3) (N-term)
Acetyl:2H(3)+Methyl (K)
ADP-Ribosyl (CEKNSR)
ADP-Ribosyl (E)
ADP-Ribosyl (K)
ADP-Ribosyl (R)
Amidated (C-term)
Amidated+iTRAQ8plex (C-term)
Amino (Y)
Ammonia-loss (K)
Ammonia-loss (R)
AMTzGalNAcGlcNAc (N)
AMTzGalNAcGlcNAc (ST)
AMTzGalNAcGlcNAc (Y)
APTA (C)
Asn->Succinimide (N)
Biotin (N-term)
Biotin-HPDP (C)
Butyryl (K)
Carbamidomethyl (C)
Carbamidomethyl (N-term)
Carbamyl (C)
Carbamyl (K)
Carbamyl (N-term)
Carboxy (E)
Carboxy (W)
Carboxymethyl (C)
Cation:K (DEST)
Cation:Na (C-term)
Cation:Na (DE)
Cation:Na (DEST)
Crotonyl (K)
Cyano (C)
Cyano (F)
Cys->Ala (C)
Cys->Dha (C)
Cysteinyl (C)
Dabcylmaleimide (C)
Deamidated (N)
Deamidated (Q)
Deamidated (R)
Deaminated (N-term)
Dehydrated (C-term)
Dehydrated (D)
Dehydrated (ST)
Dehydro (C)
Delta:H(2)C(2) (N-term)
Delta:H(2)C(3) (K)
Delta:H(4)C(3)O(1) (C)
Delta:H(4)C(3)O(1) (CHK)
Delta:H(4)C(6) (K)
Delta:H(6)C(3) (K)
Delta:H(6)C(3) (N-term)
Delta:H(6)C(6)O(1) (K)
Delta:H(8)C(6)O(2) (K)
Delta:O(4) (C)
Delta:2H(6)C(3) (K)
Delta:2H(6)C(3) (N-term)
Dethiomethyl (M)
Didehydro (C)
Didehydro (D)
Diethylphosphate (K)
Diethylphosphate (STY)
Dimethyl (K)
Dimethyl (M)
Dimethyl (N-term)
Dimethyl:2H(4) (K)
Dimethyl:2H(4) (N-term)
Dimethyl:2H(6)13C(2) (K)
Dimethyl:2H(6)13C(2) (N-term)
Dimethyl:2H4 (K)
Dimethyl:2H4 (N-term)
Dimethyl:13C(2)H(-2)2H(6) (K)
Dimethyl:13C(2)H(-2)2H(6) (N-term)
Dimethyl:13C(2)2H(4) (K)
Dimethyl:13C(2)2H(4) (N-term)
Dioxidation (C)
Dioxidation (H)
Dioxidation (M)
Dioxidation (W)
DTT_C (C)
DTT_C:2H(6) (C)
DTT_ST (ST)
DTT_ST:2H(6) (ST)
Ethanolamine (C)
Ethanolamine (C-term)
Ethanolamine (DE)
Ethanolyl (C)
Farnesyl (C)
Formyl (K)
Formyl (N-term)
Formyl (ST)
Fuc (ST)
Fuc2 (ST)
Fuc3 (ST)
Galactosyl (K)
GeranylGeranyl (C)
GeranylGeranyl (ST)
GirardT (N)
Glucosylgalactosyl (K)
Glutathione (C)
GlycerylPE (E)
GlyGly (C)
GlyGly (N-term)
GlyTyr (N-term)
Guanidinyl (K)
Hex (ST)
HexNAc (C)
HexNAc (N)
HexNAc (PV)
HexNAc (ST)
HexNAc (Y)
HexNAcFuc (N)
HexNAcFuc (ST)
HexNAcHex (ST)
HexNAcHex (Y)
HexNAcHexFuc (ST)
HexNAcHexFucNeuAc (ST)
HexNAcHexFucNeuGc (ST)
HexNAcHexFuc2 (ST)
HexNAcHexNeuAc (ST)
HexNAcHexNeuAcAc (ST)
HexNAcHexNeuAcAcNeuGcAc (ST)
HexNAcHexNeuAcAc2 (ST)
HexNAcHexNeuAcAc3 (ST)
HexNAcHexNeuAcNeuAcAc (ST)
HexNAcHexNeuAcNeuAcAcNeuAcAcAc (ST)
HexNAcHexNeuAcNeuAcAc2 (ST)
HexNAcHexNeuAcNeuAcAc3 (ST)
HexNAcHexNeuAcNeuGc (ST)
HexNAcHexNeuAcNeuGcAc (ST)
HexNAcHexNeuAc2 (ST)
HexNAcHexNeuAc2NeuAcAc (ST)
HexNAcHexNeuAc2NeuAcAc2 (ST)
HexNAcHexNeuAc3 (ST)
HexNAcHexNeuAc3NeuAcAc (ST)
HexNAcHexNeuAc3NeuAcAc2 (ST)
HexNAcHexNeuAc4 (ST)
HexNAcHexNeuGc (ST)
HexNAcHexNeuGcAc2 (ST)
HexNAcHexNeuGcNeuGcAc (ST)
HexNAcHexNeuGc2 (ST)
HexNAcHexSulfo (ST)
HexNAcHexSulfo (Y)
HexNAcHex2 (ST)
HexNAcHex2Fuc (ST)
HexNAcHex3 (ST)
HexNAcNeuAc (ST)
HexNAcNeuGc (ST)
HexNAc2 (N)
HexNAc2 (ST)
HexNAc2Fuc (N)
HexNAc2Hex (N)
HexNAc2Hex (ST)
HexNAc2HexFuc (N)
HexNAc2HexFuc (ST)
HexNAc2HexFucNeuAc (ST)
HexNAc2HexFucNeuAcAc (ST)
HexNAc2HexFucNeuGc (ST)
HexNAc2HexFucSulfo (ST)
HexNAc2HexFuc2 (ST)
HexNAc2HexNeuAc (ST)
HexNAc2HexNeuAcAc (ST)
HexNAc2HexNeuAcNeuGc (ST)
HexNAc2HexNeuAc2 (ST)
HexNAc2HexNeuGc (ST)
HexNAc2HexSulfo (ST)
HexNAc2HexXyl (N)
HexNAc2Hex2 (N)
HexNAc2Hex2 (ST)
HexNAc2Hex2Fuc (N)
HexNAc2Hex2Fuc (ST)
HexNAc2Hex2FucNeuAc (ST)
HexNAc2Hex2FucNeuAcAc (ST)
HexNAc2Hex2FucNeuAcAc2 (ST)
HexNAc2Hex2FucNeuAcNeuAcAc (ST)
HexNAc2Hex2FucNeuAc2 (ST)
HexNAc2Hex2FucNeuAc2NeuAc (ST)
HexNAc2Hex2FucNeuAc2NeuAcAc (ST)
HexNAc2Hex2FucNeuAc2NeuAcAc2 (ST)
