SPECIES
All
HUMAN MOUSE
HUMAN RODENT
MODEL PLANTS
RODENT
ROACH LOCUST BEETLE
MICROORGANISMS
ARABIDOPSIS
ARABIDOPSIS THALIANA
ARCHAEOGLOBUS FULGIDUS
BACILLUS SUBTILIS
BACULOVIRIDAE
BORRELIA BURGDORFERI
BOS TAURUS
BOTHROPS INSULARIS
BRASSICA
BRUGIA MALAYI
CAENORHABDITIS ELEGANS
CANDIDA
CANIS FAMILIARIS
CAPRA HIRCUS
CERCOPITHECUS AETHIOPS
CHLAMYDIA TRACHOMATIS
CHLAMYDOPHILA PNEUMONIAE
DANIO RERIO
DICTYOSTELIUM DISCOIDEUM
DROSOPHILA MELANOGASTER
EQUUS CABALLUS
ESCHERICHIA COLI
FELIS CATUS
FRANCISELLA TULARENSIS
GALLUS GALLUS
GLYCINE MAX
GREEN PLANTS
GORILLA GORILLA
HAEMOPHILUS
HAEMOPHILUS INFLUENZAE
HELICOBACTER PYLORI
HOMO SAPIENS
HORDEUM
HUMAN ADENOVIRUS 5
MACACA
MAMMALS
METHANOCOCCUS JANNASCHII
MUS MUSCULUS
MYCOBACTERIUM
MYCOPLASMA
NATRIALBA MAGADII
NEISSERIA
ORYCTOLAGUS CUNICULUS
ORYZA
ORYZA SATIVA
OVIS ARIES
PAN TROGLODYTES
PSEUDOMONAS AERUGINOSA
RATTUS NORVEGICUS
SACCHAROMYCES
SACCHAROMYCES CEREVISIAE
SALMONELLA
SCHIZOSACCHAROMYCES POMBE
SECALE
SHEWANELLA ONEIDENSIS
SUS SCROFA
SYNECHOCYSTIS
TOXOPLASMA GONDII
TREPONEMA PALLIDUM
TRITICUM
TRYPANOSOMA
UNKNOWN
UNREADABLE
XENOPUS LAEVIS
ZEA
