VARIABLE_MODS
Abu (N-term)
Acetohydrazide (C-term)
Acetohydrazide (DE)
Acetyl (K)
Acetyl (N-term)
Acetyl (Protein N-term)
Acetyl (R)
Acetyl (S)
Acetyl (T)
Acetyl (Uncleaved K)
Acetyl:2H(3) (K)
Acetyl:2H(3) (N-term)
Acetyl:2H(3) (Uncleaved K)
ADP-Ribosyl (CEKNSR)
ADP-Ribosyl (E)
ADP-Ribosyl (K)
ADP-Ribosyl (R)
Amidated (C-term)
Amino (Y)
Ammonia-loss (K)
Ammonia-loss (R)
AMTzGalNAcGlcNAc (N)
AMTzGalNAcGlcNAc (ST)
AMTzGalNAcGlcNAc (Y)
APTA (C)
Asn->Succinimide (N)
Biotin (N-term)
Biotin (Uncleaved K)
Biotin-HPDP (C)
Butyryl (K)
Carbamidomethyl (C)
Carbamidomethyl (N-term)
Carbamidomethyl (Uncleaved DEHKM)
Carbamidomethyl (Uncleaved HKM)
Carbamyl (C)
Carbamyl (K)
Carbamyl (N-term)
Carboxy (E)
Carboxy (W)
Carboxymethyl (C)
Cation:Fe[III] (Neutral loss)
Cation:K (DEST)
Cation:N(1)H(4) (Neutral loss)
Cation:Na (C-term)
Cation:Na (DE)
Cation:Na (DEST)
Crotonyl (K)
Cyano (C)
Cyano (F)
Cys->Ala (C)
Cys->Dha (C)
Cysteinyl (C)
Dabcylmaleimide (C)
Deamidated (N)
Deamidated (Q)
Deamidated (R)
Deaminated (N-term)
Dehydrated (C-term)
Dehydrated (D)
Dehydrated (ST)
Dehydro (C)
Delta:H(2)C(2) (N-term)
Delta:H(2)C(3) (K)
Delta:H(4)C(3)O(1) (C)
Delta:H(4)C(3)O(1) (CHK)
Delta:H(4)C(6) (K)
Delta:H(6)C(3) (K)
Delta:H(6)C(3) (N-term)
Delta:H(6)C(6)O(1) (K)
Delta:H(8)C(6)O(2) (K)
Delta:O(4) (C)
Delta:2H(6)C(3) (K)
Delta:2H(6)C(3) (N-term)
Dethiomethyl (M)
Didehydro (C)
Didehydro (D)
Diethylphosphate (K)
Diethylphosphate (STY)
Dimethyl (K)
Dimethyl (M)
Dimethyl (N-term)
Dimethyl (Uncleaved R)
Dimethyl:2H(4) (K)
Dimethyl:2H(4) (N-term)
Dimethyl:2H(6)13C(2) (K)
Dimethyl:2H(6)13C(2) (N-term)
Dimethyl:2H4 (K)
Dimethyl:2H4 (N-term)
Dimethyl:13C(2)H(-2)2H(6) (K)
Dimethyl:13C(2)H(-2)2H(6) (N-term)
Dimethyl:13C(2)2H(4) (K)
Dimethyl:13C(2)2H(4) (N-term)
Dioxidation (C)
Dioxidation (H)
Dioxidation (M)
Dioxidation (W)
Disuccinyl (Uncleaved K)
DTT_C (C)
DTT_C:2H(6) (C)
DTT_ST (ST)
DTT_ST:2H(6) (ST)
Ethanolamine (C)
Ethanolamine (C-term)
Ethanolamine (DE)
Ethanolyl (C)
Farnesyl (C)
Farnesyl (Neutral loss)
Formyl (K)
Formyl (N-term)
Formyl (ST)
Fuc (Neutral loss)
Fuc (ST)
Fuc2 (Neutral loss)
Fuc2 (ST)
Fuc3 (Neutral loss)
Fuc3 (ST)
Galactosyl (K)
GeranylGeranyl (C)
GeranylGeranyl (Neutral loss)
GeranylGeranyl (ST)
GirardT (N)
Gln->pyro-Glu (N-term Q)
GlnGlnGlnThrGlyGly (Uncleaved K)
GlnGluGlnThrGlyGly (Uncleaved K)
Glu->pyro-Glu (N-term E)
Glucosylgalactosyl (K)
GluGlnIleGlyGly (Uncleaved K)
Glutathione (C)
GlycerylPE (E)
GlyGly (C)
GlyGly (N-term)
GlyGly (Uncleaved K)
GlyTyr (N-term)
Guanidinyl (K)
Hex (Neutral loss)
Hex (ST)
HexNAc (C)
HexNAc (N)
HexNAc (Neutral loss)
HexNAc (PV)
HexNAc (ST)
HexNAc (Y)
HexNAc* (ST)
HexNAcFuc (N)
HexNAcFuc (Neutral loss)
HexNAcFuc (ST)
HexNAcFuc* (N)
HexNAcHex (Neutral loss)
HexNAcHex (ST)
HexNAcHex (Y)
HexNAcHexFuc (Neutral loss)
HexNAcHexFuc (ST)
HexNAcHexFucNeuAc (Neutral loss)
HexNAcHexFucNeuAc (ST)
HexNAcHexFucNeuGc (Neutral loss)
HexNAcHexFucNeuGc (ST)
HexNAcHexFuc2 (Neutral loss)
HexNAcHexFuc2 (ST)
HexNAcHexNeuAc (Neutral loss)
HexNAcHexNeuAc (ST)
HexNAcHexNeuAcAc (Neutral loss)
HexNAcHexNeuAcAc (ST)
HexNAcHexNeuAcAcNeuGcAc (Neutral loss)
HexNAcHexNeuAcAcNeuGcAc (ST)
HexNAcHexNeuAcAc2 (Neutral loss)
HexNAcHexNeuAcAc2 (ST)
HexNAcHexNeuAcAc3 (Neutral loss)
HexNAcHexNeuAcAc3 (ST)
HexNAcHexNeuAcNeuAcAc (Neutral loss)
HexNAcHexNeuAcNeuAcAc (ST)
HexNAcHexNeuAcNeuAcAcNeuAcAcAc (Neutral loss)
HexNAcHexNeuAcNeuAcAcNeuAcAcAc (ST)
HexNAcHexNeuAcNeuAcAc2 (Neutral loss)
HexNAcHexNeuAcNeuAcAc2 (ST)
HexNAcHexNeuAcNeuAcAc3 (Neutral loss)
HexNAcHexNeuAcNeuAcAc3 (ST)
HexNAcHexNeuAcNeuGc (Neutral loss)
HexNAcHexNeuAcNeuGc (ST)
HexNAcHexNeuAcNeuGcAc (Neutral loss)
HexNAcHexNeuAcNeuGcAc (ST)
HexNAcHexNeuAc2 (Neutral loss)
HexNAcHexNeuAc2 (ST)
HexNAcHexNeuAc2NeuAcAc (Neutral loss)
HexNAcHexNeuAc2NeuAcAc (ST)
HexNAcHexNeuAc2NeuAcAc2 (Neutral loss)
HexNAcHexNeuAc2NeuAcAc2 (ST)
